2,5193
16,297
18,2214
25,7191
35,3213
47,5886
61,720
62,7875
95,1314
103,6390
124,1962
138,945
156,3033
157,1413
191,108
196,9279
211,4086
215,4689
225,9630
237,8604
248,1989
253,2781
268,8019
295,4464
300,9171
307,9009
328,6264
334,6705
358,441
359,6210
360,9207
365,7326
381,8820
382,9396
404,8352
406,4266
413,5013
417,6939
419,5490
420,2124
422,9306
425,7110
427,6786
430,3834
434,2493
447,5553
452,2898
453,8271
464,3240
479,7371
485,8622
497,468
514,4869
546,5643
549,513
552,8442
556,2808
558,1386
573,387
574,999
582,7704
584,7164
596,6300
600,5544
605,5895
643,7254
652,1467
663,4851
669,5391
673,819
680,9738
685,8361
690,7470
691,1602
697,5238
701,3285
716,7524
735,7722
737,5985
755,4752
779,4212
785,3330
788,6804
795,5949
799,6093
824,3663
834,522
839,4356
840,8406
847,6732
850,8793
856,7461
862,8100
871,9378
878,2286
891,8379
893,9018
941,1845
950,216
978,4455
981,3222
982,7902
983,9081
991,2853
994,5094
996,4203
1007,882
1015,738
1020,9099
1037,9468
1041,2718
1049,4743
1050,8424
1054,4572
1070,7830
1075,3015
1076,8649
1101,783
1113,9198
1121,4293
1132,3312
1135,2916
1141,2862
1142,2340
1153,7587
1164,2133
1165,2313
1186,5967
1188,9621
1192,6408
1225,7290
1230,261
1247,8874
1265,810
1269,4302
1290,1512
1295,3807
1300,6588
1302,1026
1365,585
1374,2043
1377,6111
1398,2889
1399,3843
1414,6372
1423,9126
1433,9459
1437,2259
1446,8514
1448,9315
1470,7452
1477,2079
1478,9450
1481,3618
1483,8208
1499,5562
1507,5859
1513,3447
1523,6957
1541,5364
1548,2574
1556,5742
1562,648
1567,2349
1570,5499
1598,1170
1604,6417
1610,4626
1631,684
1633,8064
1645,2358
1649,765
1659,7794
1682,8496
1687,405
1689,3528
1690,4176
1730,5337
1753,4617
1770,9441
1795,6030
1804,1584
1817,2700
1821,1098
1825,5175
1832,4032
1837,3960
1850,3438
1856,8262
1864,8658
1881,8721
1888,6282
1897,4284
1921,9531
1924,4482
1965,6183
1977,9603
1978,963
1980,7038
1984,6219
1989,4068
2007,5103
2015,1917
2022,2772
2049,1836
2055,4806
2076,8865
2084,7299
2091,3474
2097,8190
2101,8550
2102,1476
2112,2970
2123,9747
2138,7146
2145,3672
2153,1557
2169,2376
2179,6660
2191,6759
2196,7533
2224,2682
2227,6912
2231,7155
2258,594
2263,234
2275,9216
2290,2187
2298,1494
2304,6498
2307,9693
2325,540
2326,6120
2333,1458
2334,8910
2337,7020
2341,3465
2369,702
2377,3348
2387,3987
2393,6651
2402,7335
2408,7209
2412,1422
2441,1278
2467,3888
2477,6102
2483,1143
2487,6273
2492,8145
2493,3906
2495,4239
2509,6885
2522,3168
2525,6849
2527,3393
2533,9801
2559,7317
2581,7101
2591,6381
2592,1233
2600,1332
2617,6201
2631,9225
2655,189
2675,6687
2688,6138
2703,6948
2705,1062
2709,5427
2727,6309
2738,4590
2758,6426
2760,9477
2781,3600
2798,5058
2808,792
2816,4896
2822,8136
2823,1287
2832,2925
2856,8676
2861,7056
2884,4221
2885,6993
2887,5400
2892,5769
2894,5328
2896,5580
2899,3690
2900,7479
2911,1755
2926,6075
2931,5247
2934,9297
2954,1179
2976,5661
3026,4968
3043,5265
3050,2421
3078,2322
3095,6084
3107,2457
3135,1449
3144,5679
3145,9648
3150,2016
3170,3339
3181,9288
3182,4275
3201,4050
3204,6444
3206,1710
3208,7398
3222,9702
3227,1341
